variant,frame,time,force_norm,moved_mass,target_zone_mass,forward_transport,peak_force,current_force,work,force_violation,efficiency,reward,trench_depth_m,ridge_height_m,depth_completion,lateral_spillage_mass,target_transport_error,target_mass_error,intuitive_score
no_posterior,10,0.29920000000000035,735.0882568359375,18428.783475144908,5787.531656218498,796.6156616210938,910.494384765625,735.0882568359375,57.57731376496548,0.0,3.0927244716434568,1633.3677543105691,0.010248021222651005,0.0,0.14640030318072864,7642.374103767641,0.7787178717719184,0.4832561021233484,44.66264760031149
no_posterior,11,0.32640000000000113,665.5858764648438,18834.911768838203,5909.614309633316,869.9701538085938,910.494384765625,665.5858764648438,58.69027232604884,0.0,3.362979774949164,1683.4776099344272,0.010030752047896385,0.0,0.14329645782709122,7782.362213016632,0.7583416239420573,0.47235586521131107,46.88810601500748
no_posterior,12,0.3536000000000019,593.9153442382812,19093.72699407762,5947.052990013861,913.7239379882812,910.494384765625,593.9153442382812,60.029520555575516,0.0,3.5139238653981715,1713.67930953131,0.01068029087036848,0.0,0.15257558386240685,7934.558587607106,0.7461877950032552,0.4690131258916196,48.450627960133815
no_posterior,13,0.3808000000000027,529.30126953125,19271.967668063255,5937.286377740676,929.6220703125,910.494384765625,529.30126953125,61.51935809336436,0.0,3.5546969719183004,1729.8426990824978,0.011565592139959335,0.0,0.1652227448565619,8024.899751134072,0.7417716471354167,0.46988514484458255,49.305302460836195
no_posterior,14,0.40800000000000347,477.4165954589844,19451.022226404988,5913.68373141381,928.4398193359375,910.494384765625,477.4165954589844,63.119410154312106,0.0,3.5285873390770894,1741.3023087750348,0.011886135675013065,0.0,0.16980193821447234,8108.7298398122475,0.7421000501844618,0.4719925239809098,49.17776292506005
no_posterior,15,0.43520000000000425,430.6583251953125,19569.849342395413,5894.15050686744,926.6035766601562,910.494384765625,430.6583251953125,64.7840023850901,0.0,3.4994696368119143,1748.0587042174081,0.011771338991820812,0.0,0.16816198559744017,8199.071003339213,0.742610117594401,0.47373656188683577,48.69734341742675
no_posterior,16,0.46240000000000503,404.467529296875,19724.487370054183,5878.686704101562,940.11572265625,910.494384765625,404.467529296875,66.54583755933953,0.0,3.5270320904822143,1761.4929338119207,0.010874586179852486,0.0,0.15535123114074978,8259.298445690523,0.7388567437065973,0.47511725856236053,48.12777542130176
no_posterior,17,0.4896000000000058,369.66180419921875,19841.68671733241,5894.964391223538,977.0775146484375,910.494384765625,369.66180419921875,68.32895302044352,0.0,3.641342105091416,1778.3820380293087,0.010196967981755733,0.0,0.14567097116793903,8315.456466261341,0.7285895792643229,0.47366389364075556,48.57615123550189
no_posterior,18,0.5168000000000066,309.0354309082031,19950.747221049645,5985.305554750504,1035.210205078125,910.494384765625,309.0354309082031,69.95704609317971,0.0,3.83472193098752,1800.6400152308215,0.009328809566795826,0.0,0.13326870809708322,8361.033990202872,0.7124416097005208,0.4655977183258479,49.9191813086002
no_posterior,19,0.5440000000000074,277.0589294433594,20024.810697454635,6052.857956306703,1108.362548828125,910.494384765625,277.0589294433594,71.5335054725262,0.0,4.081862924795737,1823.8997707619828,0.010535966604948044,0.0,0.1505138086421149,8406.611514144404,0.6921215142144097,0.4595662539011872,53.17777276493717
